HUD frame time nsec:,16663000

Range Index,Elapsed Time, First Event,Last Event
0,8032,3,3
1,236672,19,19
2,3936,26,26
3,28800,43,43
4,928,64,64
5,270752,136,136
6,4096,141,141
7,28768,158,158
8,928,179,179
9,268800,251,251
10,6784,256,256
11,28992,273,273
12,896,294,294
13,339456,365,365
14,6112,414,414
15,2528,435,435
16,1760,453,453
17,13944000,464,464
