HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,17728,3,3
1,230592,19,19
2,6240,26,26
3,33600,43,43
4,928,64,64
5,235200,136,136
6,5952,141,141
7,25920,158,158
8,992,179,179
9,240544,251,251
10,9984,256,256
11,27968,273,273
12,928,294,294
13,244704,365,365
14,704,384,384
15,21504,434,434
16,13366624,448,448
