HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,9088,1,1
1,11328,6,6
2,212128,72,72
3,800,117,117
4,704,162,162
5,800,207,207
6,736,251,251
7,189952,318,318
8,736,363,363
9,704,408,408
10,704,453,453
11,736,497,497
12,704,541,541
13,153152,608,608
14,704,653,653
15,704,698,698
16,704,743,743
17,704,787,787
18,153376,854,854
19,672,899,899
20,704,944,944
21,800,989,989
22,704,1033,1033
23,183648,1100,1100
24,704,1145,1145
25,800,1190,1190
26,704,1235,1235
27,704,1279,1279
28,9184,1283,1283
29,144032,1349,1349
30,768,1394,1394
31,736,1439,1439
32,704,1484,1484
33,736,1528,1528
34,200032,1595,1595
35,704,1640,1640
36,800,1685,1685
37,672,1730,1730
38,704,1774,1774
39,736,1818,1818
40,158752,1885,1885
41,704,1930,1930
42,704,1975,1975
43,704,2020,2020
44,672,2064,2064
45,148480,2131,2131
46,704,2176,2176
47,704,2221,2221
48,768,2266,2266
49,768,2310,2310
50,178720,2377,2377
51,736,2422,2422
52,704,2467,2467
53,704,2512,2512
54,704,2556,2556
55,167680,2626,2626
56,704,2671,2671
57,704,2716,2716
58,736,2761,2761
59,704,2805,2805
60,167232,2872,2872
61,768,2917,2917
62,736,2962,2962
63,704,3007,3007
64,736,3051,3051
65,28128,3095,3095
66,140288,3162,3162
67,768,3207,3207
68,800,3252,3252
69,704,3297,3297
70,704,3341,3341
71,161536,3408,3408
72,832,3453,3453
73,704,3498,3498
74,768,3543,3543
75,736,3587,3587
76,304544,3654,3654
77,704,3699,3699
78,704,3744,3744
79,704,3789,3789
80,768,3833,3833
81,736,3852,3852
82,736,3870,3870
83,768,3888,3888
84,800,3906,3906
85,800,3924,3924
86,736,3942,3942
87,704,3960,3960
88,704,3978,3978
89,704,3996,3996
90,768,4014,4014
91,704,4032,4032
92,11542720,4044,4044
