HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8800,1,1
1,11040,6,6
2,167520,69,69
3,704,113,113
4,704,157,157
5,704,201,201
6,704,245,245
7,168160,309,309
8,704,353,353
9,704,397,397
10,704,441,441
11,704,485,485
12,704,529,529
13,137696,593,593
14,704,637,637
15,704,681,681
16,768,725,725
17,960,769,769
18,141408,833,833
19,704,877,877
20,672,921,921
21,704,965,965
22,704,1009,1009
23,167136,1073,1073
24,704,1117,1117
25,832,1161,1161
26,800,1205,1205
27,768,1249,1249
28,9888,1253,1253
29,132544,1316,1316
30,992,1360,1360
31,832,1404,1404
32,704,1448,1448
33,736,1492,1492
34,153856,1556,1556
35,736,1600,1600
36,704,1644,1644
37,736,1688,1688
38,800,1732,1732
39,736,1776,1776
40,136672,1840,1840
41,704,1884,1884
42,704,1928,1928
43,704,1972,1972
44,704,2016,2016
45,139104,2080,2080
46,768,2124,2124
47,800,2168,2168
48,736,2212,2212
49,864,2256,2256
50,154176,2320,2320
51,704,2364,2364
52,704,2408,2408
53,736,2452,2452
54,768,2496,2496
55,155360,2563,2563
56,704,2607,2607
57,704,2651,2651
58,672,2695,2695
59,704,2739,2739
60,154400,2803,2803
61,736,2847,2847
62,704,2891,2891
63,704,2935,2935
64,704,2979,2979
65,6496,3023,3023
66,133472,3087,3087
67,704,3131,3131
68,704,3175,3175
69,704,3219,3219
70,704,3263,3263
71,143456,3327,3327
72,768,3371,3371
73,736,3415,3415
74,736,3459,3459
75,992,3503,3503
76,223424,3567,3567
77,704,3611,3611
78,672,3655,3655
79,704,3699,3699
80,704,3743,3743
81,704,3762,3762
82,704,3780,3780
83,672,3798,3798
84,704,3816,3816
85,704,3834,3834
86,704,3852,3852
87,704,3870,3870
88,704,3888,3888
89,704,3906,3906
90,704,3924,3924
91,704,3942,3942
92,12155040,3954,3954
