HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,9888,1,1
1,14304,6,6
2,167456,69,69
3,704,113,113
4,672,157,157
5,960,201,201
6,832,245,245
7,164000,309,309
8,704,353,353
9,672,397,397
10,704,441,441
11,704,485,485
12,704,529,529
13,139040,593,593
14,736,637,637
15,736,681,681
16,704,725,725
17,800,769,769
18,141504,833,833
19,800,877,877
20,736,921,921
21,704,965,965
22,736,1009,1009
23,173792,1073,1073
24,704,1117,1117
25,704,1161,1161
26,704,1205,1205
27,704,1249,1249
28,12544,1253,1253
29,126688,1316,1316
30,704,1360,1360
31,736,1404,1404
32,704,1448,1448
33,704,1492,1492
34,156864,1556,1556
35,800,1600,1600
36,736,1644,1644
37,704,1688,1688
38,704,1732,1732
39,704,1776,1776
40,135552,1840,1840
41,704,1884,1884
42,704,1928,1928
43,704,1972,1972
44,672,2016,2016
45,136640,2080,2080
46,704,2124,2124
47,768,2168,2168
48,704,2212,2212
49,704,2256,2256
50,162368,2320,2320
51,704,2364,2364
52,704,2408,2408
53,704,2452,2452
54,704,2496,2496
55,159072,2563,2563
56,832,2607,2607
57,800,2651,2651
58,832,2695,2695
59,736,2739,2739
60,157536,2803,2803
61,768,2847,2847
62,704,2891,2891
63,992,2935,2935
64,704,2979,2979
65,43776,3023,3023
66,98880,3087,3087
67,736,3131,3131
68,704,3175,3175
69,704,3219,3219
70,704,3263,3263
71,141056,3327,3327
72,672,3371,3371
73,704,3415,3415
74,704,3459,3459
75,704,3503,3503
76,224256,3567,3567
77,736,3611,3611
78,672,3655,3655
79,704,3699,3699
80,736,3743,3743
81,704,3762,3762
82,704,3780,3780
83,832,3798,3798
84,800,3816,3816
85,704,3834,3834
86,736,3852,3852
87,704,3870,3870
88,704,3888,3888
89,736,3906,3906
90,704,3924,3924
91,704,3942,3942
92,11360736,3954,3954
