HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8832,1,1
1,11008,6,6
2,190752,72,72
3,704,117,117
4,768,162,162
5,800,207,207
6,768,251,251
7,172608,318,318
8,704,363,363
9,704,408,408
10,672,453,453
11,672,497,497
12,704,541,541
13,155360,608,608
14,704,653,653
15,736,698,698
16,704,743,743
17,736,787,787
18,156640,854,854
19,704,899,899
20,704,944,944
21,704,989,989
22,704,1033,1033
23,186688,1100,1100
24,768,1145,1145
25,704,1190,1190
26,704,1235,1235
27,704,1279,1279
28,9888,1283,1283
29,143584,1349,1349
30,704,1394,1394
31,704,1439,1439
32,704,1484,1484
33,704,1528,1528
34,170144,1595,1595
35,736,1640,1640
36,672,1685,1685
37,704,1730,1730
38,672,1774,1774
39,672,1818,1818
40,152832,1885,1885
41,704,1930,1930
42,704,1975,1975
43,672,2020,2020
44,704,2064,2064
45,155168,2131,2131
46,704,2176,2176
47,736,2221,2221
48,704,2266,2266
49,704,2310,2310
50,179936,2377,2377
51,672,2422,2422
52,736,2467,2467
53,704,2512,2512
54,704,2556,2556
55,233696,2626,2626
56,704,2671,2671
57,736,2716,2716
58,704,2761,2761
59,704,2805,2805
60,129984,2872,2872
61,736,2917,2917
62,864,2962,2962
63,704,3007,3007
64,768,3051,3051
65,30208,3095,3095
66,123104,3162,3162
67,704,3207,3207
68,672,3252,3252
69,704,3297,3297
70,704,3341,3341
71,155520,3408,3408
72,704,3453,3453
73,768,3498,3498
74,800,3543,3543
75,832,3587,3587
76,242016,3654,3654
77,736,3699,3699
78,704,3744,3744
79,768,3789,3789
80,704,3833,3833
81,736,3852,3852
82,704,3870,3870
83,704,3888,3888
84,736,3906,3906
85,1152,3924,3924
86,768,3942,3942
87,768,3960,3960
88,704,3978,3978
89,704,3996,3996
90,832,4014,4014
91,832,4032,4032
92,12137344,4044,4044
