HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,9312,1,1
1,11040,6,6
2,178528,69,69
3,736,113,113
4,704,157,157
5,736,201,201
6,832,245,245
7,180160,309,309
8,832,353,353
9,800,397,397
10,768,441,441
11,800,485,485
12,768,529,529
13,168128,593,593
14,768,637,637
15,704,681,681
16,704,725,725
17,704,769,769
18,164064,833,833
19,896,877,877
20,768,921,921
21,736,965,965
22,768,1009,1009
23,189792,1073,1073
24,864,1117,1117
25,736,1161,1161
26,768,1205,1205
27,768,1249,1249
28,9888,1253,1253
29,150336,1316,1316
30,704,1360,1360
31,736,1404,1404
32,736,1448,1448
33,832,1492,1492
34,383200,1556,1556
35,736,1600,1600
36,736,1644,1644
37,736,1688,1688
38,768,1732,1732
39,896,1776,1776
40,28672,1840,1840
41,736,1884,1884
42,736,1928,1928
43,704,1972,1972
44,736,2016,2016
45,109280,2080,2080
46,704,2124,2124
47,832,2168,2168
48,736,2212,2212
49,736,2256,2256
50,181632,2320,2320
51,736,2364,2364
52,704,2408,2408
53,736,2452,2452
54,672,2496,2496
55,195648,2563,2563
56,736,2607,2607
57,704,2651,2651
58,704,2695,2695
59,768,2739,2739
60,189824,2803,2803
61,896,2847,2847
62,768,2891,2891
63,800,2935,2935
64,736,2979,2979
65,26304,3023,3023
66,130208,3087,3087
67,704,3131,3131
68,704,3175,3175
69,704,3219,3219
70,704,3263,3263
71,158368,3327,3327
72,736,3371,3371
73,768,3415,3415
74,704,3459,3459
75,768,3503,3503
76,261344,3567,3567
77,736,3611,3611
78,704,3655,3655
79,736,3699,3699
80,672,3743,3743
81,704,3762,3762
82,704,3780,3780
83,704,3798,3798
84,736,3816,3816
85,736,3834,3834
86,736,3852,3852
87,736,3870,3870
88,704,3888,3888
89,704,3906,3906
90,768,3924,3924
91,736,3942,3942
92,12791840,3954,3954
