HUD frame time nsec:,16660000

Range Index,Elapsed Time, First Event,Last Event
0,8672,1,1
1,11072,6,6
2,161952,72,72
3,704,117,117
4,928,162,162
5,864,207,207
6,704,251,251
7,159040,318,318
8,768,363,363
9,832,408,408
10,832,453,453
11,768,497,497
12,704,541,541
13,139648,608,608
14,704,653,653
15,704,698,698
16,704,743,743
17,704,787,787
18,139488,854,854
19,704,899,899
20,736,944,944
21,736,989,989
22,704,1033,1033
23,172160,1100,1100
24,704,1145,1145
25,768,1190,1190
26,704,1235,1235
27,768,1279,1279
28,9920,1283,1283
29,133248,1349,1349
30,704,1394,1394
31,736,1439,1439
32,736,1484,1484
33,800,1528,1528
34,156384,1595,1595
35,704,1640,1640
36,1024,1685,1685
37,800,1730,1730
38,832,1774,1774
39,736,1818,1818
40,142080,1885,1885
41,704,1930,1930
42,736,1975,1975
43,704,2020,2020
44,704,2064,2064
45,137632,2131,2131
46,704,2176,2176
47,704,2221,2221
48,704,2266,2266
49,704,2310,2310
50,163232,2377,2377
51,704,2422,2422
52,672,2467,2467
53,704,2512,2512
54,704,2556,2556
55,156576,2626,2626
56,704,2671,2671
57,704,2716,2716
58,704,2761,2761
59,704,2805,2805
60,166720,2872,2872
61,992,2917,2917
62,832,2962,2962
63,704,3007,3007
64,768,3051,3051
65,34976,3095,3095
66,116832,3162,3162
67,704,3207,3207
68,704,3252,3252
69,704,3297,3297
70,704,3341,3341
71,140416,3408,3408
72,704,3453,3453
73,704,3498,3498
74,1024,3543,3543
75,832,3587,3587
76,218528,3654,3654
77,704,3699,3699
78,704,3744,3744
79,704,3789,3789
80,704,3833,3833
81,704,3852,3852
82,704,3870,3870
83,704,3888,3888
84,960,3906,3906
85,832,3924,3924
86,704,3942,3942
87,832,3960,3960
88,832,3978,3978
89,704,3996,3996
90,704,4014,4014
91,768,4032,4032
92,12165472,4044,4044
