HUD frame time nsec:,16660000

Range Index,Elapsed Time, First Event,Last Event
0,8608,1,1
1,11200,6,6
2,174464,72,72
3,704,117,117
4,704,162,162
5,672,207,207
6,704,251,251
7,138816,318,318
8,736,363,363
9,704,408,408
10,736,453,453
11,736,497,497
12,162112,564,564
13,800,609,609
14,704,654,654
15,800,699,699
16,704,743,743
17,704,787,787
18,145920,854,854
19,832,899,899
20,768,944,944
21,736,989,989
22,736,1033,1033
23,173632,1100,1100
24,704,1145,1145
25,704,1190,1190
26,704,1235,1235
27,736,1279,1279
28,9184,1283,1283
29,138688,1349,1349
30,704,1394,1394
31,768,1439,1439
32,768,1484,1484
33,768,1528,1528
34,134880,1595,1595
35,704,1640,1640
36,704,1685,1685
37,704,1730,1730
38,800,1774,1774
39,158688,1841,1841
40,768,1886,1886
41,704,1931,1931
42,672,1976,1976
43,736,2020,2020
44,672,2064,2064
45,141440,2131,2131
46,672,2176,2176
47,960,2221,2221
48,864,2266,2266
49,768,2310,2310
50,156928,2377,2377
51,704,2422,2422
52,800,2467,2467
53,704,2512,2512
54,704,2556,2556
55,160832,2626,2626
56,832,2671,2671
57,992,2716,2716
58,832,2761,2761
59,704,2805,2805
60,152480,2872,2872
61,704,2917,2917
62,736,2962,2962
63,800,3007,3007
64,736,3051,3051
65,158016,3118,3118
66,736,3163,3163
67,704,3208,3208
68,1024,3253,3253
69,832,3297,3297
70,17856,3341,3341
71,129184,3408,3408
72,832,3453,3453
73,832,3498,3498
74,736,3543,3543
75,704,3587,3587
76,229536,3654,3654
77,928,3699,3699
78,832,3744,3744
79,736,3789,3789
80,736,3833,3833
81,736,3852,3852
82,736,3870,3870
83,736,3888,3888
84,736,3906,3906
85,768,3924,3924
86,832,3942,3942
87,736,3960,3960
88,704,3978,3978
89,736,3996,3996
90,736,4014,4014
91,704,4032,4032
92,12211200,4044,4044
