HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,9248,1,1
1,11168,6,6
2,158560,69,69
3,704,113,113
4,736,157,157
5,704,201,201
6,736,245,245
7,164352,309,309
8,704,353,353
9,736,397,397
10,736,441,441
11,704,485,485
12,704,529,529
13,141280,593,593
14,704,637,637
15,704,681,681
16,768,725,725
17,832,769,769
18,148704,833,833
19,800,877,877
20,704,921,921
21,768,965,965
22,704,1009,1009
23,174912,1073,1073
24,704,1117,1117
25,704,1161,1161
26,800,1205,1205
27,704,1249,1249
28,9920,1253,1253
29,129600,1316,1316
30,704,1360,1360
31,672,1404,1404
32,704,1448,1448
33,704,1492,1492
34,157728,1556,1556
35,672,1600,1600
36,704,1644,1644
37,768,1688,1688
38,992,1732,1732
39,832,1776,1776
40,139392,1840,1840
41,704,1884,1884
42,704,1928,1928
43,704,1972,1972
44,704,2016,2016
45,137824,2080,2080
46,736,2124,2124
47,736,2168,2168
48,736,2212,2212
49,896,2256,2256
50,158592,2320,2320
51,704,2364,2364
52,704,2408,2408
53,704,2452,2452
54,704,2496,2496
55,160640,2563,2563
56,800,2607,2607
57,704,2651,2651
58,768,2695,2695
59,736,2739,2739
60,161504,2803,2803
61,704,2847,2847
62,704,2891,2891
63,704,2935,2935
64,704,2979,2979
65,24672,3023,3023
66,118816,3087,3087
67,800,3131,3131
68,704,3175,3175
69,704,3219,3219
70,800,3263,3263
71,137760,3327,3327
72,704,3371,3371
73,704,3415,3415
74,768,3459,3459
75,704,3503,3503
76,231296,3567,3567
77,768,3611,3611
78,736,3655,3655
79,768,3699,3699
80,704,3743,3743
81,864,3762,3762
82,704,3780,3780
83,704,3798,3798
84,704,3816,3816
85,672,3834,3834
86,704,3852,3852
87,704,3870,3870
88,704,3888,3888
89,672,3906,3906
90,704,3924,3924
91,672,3942,3942
92,12170496,3954,3954
