HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,9216,1,1
1,11008,6,6
2,184256,72,72
3,672,117,117
4,736,162,162
5,704,207,207
6,704,251,251
7,173824,318,318
8,704,363,363
9,864,408,408
10,832,453,453
11,704,497,497
12,800,541,541
13,155712,608,608
14,704,653,653
15,704,698,698
16,704,743,743
17,832,787,787
18,158112,854,854
19,704,899,899
20,736,944,944
21,768,989,989
22,768,1033,1033
23,189536,1100,1100
24,736,1145,1145
25,800,1190,1190
26,704,1235,1235
27,704,1279,1279
28,9888,1283,1283
29,147904,1349,1349
30,992,1394,1394
31,864,1439,1439
32,704,1484,1484
33,704,1528,1528
34,177888,1595,1595
35,704,1640,1640
36,704,1685,1685
37,704,1730,1730
38,704,1774,1774
39,832,1818,1818
40,155008,1885,1885
41,736,1930,1930
42,992,1975,1975
43,736,2020,2020
44,864,2064,2064
45,157248,2131,2131
46,704,2176,2176
47,704,2221,2221
48,704,2266,2266
49,704,2310,2310
50,175488,2377,2377
51,704,2422,2422
52,704,2467,2467
53,800,2512,2512
54,800,2556,2556
55,193728,2626,2626
56,704,2671,2671
57,672,2716,2716
58,672,2761,2761
59,704,2805,2805
60,179712,2872,2872
61,704,2917,2917
62,704,2962,2962
63,736,3007,3007
64,800,3051,3051
65,41312,3095,3095
66,115200,3162,3162
67,832,3207,3207
68,768,3252,3252
69,736,3297,3297
70,704,3341,3341
71,159744,3408,3408
72,1056,3453,3453
73,768,3498,3498
74,768,3543,3543
75,736,3587,3587
76,234272,3654,3654
77,736,3699,3699
78,704,3744,3744
79,960,3789,3789
80,832,3833,3833
81,736,3852,3852
82,704,3870,3870
83,736,3888,3888
84,768,3906,3906
85,832,3924,3924
86,736,3942,3942
87,704,3960,3960
88,704,3978,3978
89,704,3996,3996
90,736,4014,4014
91,736,4032,4032
92,12126912,4044,4044
