HUD frame time nsec:,16657000

Range Index,Elapsed Time, First Event,Last Event
0,8384,1,1
1,11104,6,6
2,172832,72,72
3,704,117,117
4,704,162,162
5,704,207,207
6,704,251,251
7,176512,318,318
8,992,363,363
9,864,408,408
10,704,453,453
11,800,497,497
12,704,541,541
13,175424,608,608
14,736,653,653
15,704,698,698
16,800,743,743
17,704,787,787
18,179776,854,854
19,800,899,899
20,736,944,944
21,704,989,989
22,672,1033,1033
23,180384,1100,1100
24,736,1145,1145
25,704,1190,1190
26,704,1235,1235
27,704,1279,1279
28,9216,1283,1283
29,140448,1349,1349
30,800,1394,1394
31,800,1439,1439
32,832,1484,1484
33,704,1528,1528
34,174752,1595,1595
35,736,1640,1640
36,704,1685,1685
37,704,1730,1730
38,704,1774,1774
39,704,1818,1818
40,162304,1885,1885
41,704,1930,1930
42,704,1975,1975
43,736,2020,2020
44,704,2064,2064
45,187232,2131,2131
46,704,2176,2176
47,704,2221,2221
48,672,2266,2266
49,736,2310,2310
50,181216,2377,2377
51,736,2422,2422
52,768,2467,2467
53,736,2512,2512
54,736,2556,2556
55,165280,2626,2626
56,704,2671,2671
57,704,2716,2716
58,736,2761,2761
59,768,2805,2805
60,166560,2872,2872
61,736,2917,2917
62,736,2962,2962
63,736,3007,3007
64,704,3051,3051
65,39456,3095,3095
66,133952,3162,3162
67,704,3207,3207
68,704,3252,3252
69,736,3297,3297
70,704,3341,3341
71,174464,3408,3408
72,704,3453,3453
73,736,3498,3498
74,704,3543,3543
75,704,3587,3587
76,264992,3654,3654
77,704,3699,3699
78,736,3744,3744
79,704,3789,3789
80,832,3833,3833
81,704,3852,3852
82,800,3870,3870
83,704,3888,3888
84,768,3906,3906
85,800,3924,3924
86,704,3942,3942
87,704,3960,3960
88,736,3978,3978
89,704,3996,3996
90,736,4014,4014
91,704,4032,4032
92,11808608,4044,4044
