HUD frame time nsec:,16669000

Range Index,Elapsed Time, First Event,Last Event
0,8960,1,1
1,186080,71,71
2,672,116,116
3,672,161,161
4,704,206,206
5,1024,250,250
6,158112,317,317
7,704,362,362
8,672,407,407
9,704,452,452
10,704,496,496
11,1664,540,540
12,140192,607,607
13,800,652,652
14,736,697,697
15,704,742,742
16,704,786,786
17,137792,853,853
18,800,898,898
19,736,943,943
20,704,988,988
21,768,1032,1032
22,166784,1099,1099
23,704,1144,1144
24,704,1189,1189
25,704,1234,1234
26,704,1278,1278
27,142432,1347,1347
28,736,1392,1392
29,704,1437,1437
30,704,1482,1482
31,704,1526,1526
32,157536,1593,1593
33,672,1638,1638
34,704,1683,1683
35,704,1728,1728
36,768,1772,1772
37,1376,1816,1816
38,136224,1883,1883
39,704,1928,1928
40,992,1973,1973
41,800,2018,2018
42,704,2062,2062
43,142272,2129,2129
44,832,2174,2174
45,704,2219,2219
46,896,2264,2264
47,704,2308,2308
48,159904,2375,2375
49,704,2420,2420
50,768,2465,2465
51,704,2510,2510
52,704,2554,2554
53,161920,2624,2624
54,704,2669,2669
55,704,2714,2714
56,704,2759,2759
57,704,2803,2803
58,164032,2870,2870
59,736,2915,2915
60,704,2960,2960
61,704,3005,3005
62,736,3049,3049
63,30464,3093,3093
64,110400,3160,3160
65,768,3205,3205
66,768,3250,3250
67,704,3295,3295
68,800,3339,3339
69,141952,3406,3406
70,704,3451,3451
71,704,3496,3496
72,704,3541,3541
73,704,3585,3585
74,222048,3652,3652
75,736,3697,3697
76,768,3742,3742
77,832,3787,3787
78,736,3831,3831
79,736,3850,3850
80,704,3868,3868
81,832,3886,3886
82,704,3904,3904
83,736,3922,3922
84,704,3940,3940
85,704,3958,3958
86,672,3976,3976
87,704,3994,3994
88,704,4012,4012
89,704,4030,4030
90,12299392,4042,4042
