HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10080,1,1
1,14560,6,6
2,168832,72,72
3,704,117,117
4,704,162,162
5,672,207,207
6,704,251,251
7,159936,318,318
8,704,363,363
9,704,408,408
10,704,453,453
11,704,497,497
12,704,541,541
13,140736,608,608
14,800,653,653
15,704,698,698
16,800,743,743
17,704,787,787
18,156608,854,854
19,672,899,899
20,992,944,944
21,736,989,989
22,800,1033,1033
23,172480,1100,1100
24,704,1145,1145
25,736,1190,1190
26,736,1235,1235
27,736,1279,1279
28,9120,1283,1283
29,132352,1349,1349
30,704,1394,1394
31,800,1439,1439
32,736,1484,1484
33,704,1528,1528
34,159392,1595,1595
35,704,1640,1640
36,800,1685,1685
37,864,1730,1730
38,704,1774,1774
39,800,1818,1818
40,137152,1885,1885
41,672,1930,1930
42,704,1975,1975
43,672,2020,2020
44,736,2064,2064
45,141600,2131,2131
46,736,2176,2176
47,704,2221,2221
48,704,2266,2266
49,704,2310,2310
50,165824,2377,2377
51,704,2422,2422
52,736,2467,2467
53,736,2512,2512
54,736,2556,2556
55,164896,2626,2626
56,704,2671,2671
57,736,2716,2716
58,768,2761,2761
59,832,2805,2805
60,159392,2872,2872
61,704,2917,2917
62,704,2962,2962
63,704,3007,3007
64,736,3051,3051
65,28480,3095,3095
66,118752,3162,3162
67,992,3207,3207
68,800,3252,3252
69,736,3297,3297
70,704,3341,3341
71,140768,3408,3408
72,672,3453,3453
73,704,3498,3498
74,704,3543,3543
75,704,3587,3587
76,236992,3654,3654
77,736,3699,3699
78,736,3744,3744
79,736,3789,3789
80,736,3833,3833
81,736,3852,3852
82,768,3870,3870
83,736,3888,3888
84,736,3906,3906
85,800,3924,3924
86,1056,3942,3942
87,736,3960,3960
88,704,3978,3978
89,736,3996,3996
90,704,4014,4014
91,704,4032,4032
92,11526976,4044,4044
