HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10048,1,1
1,14368,6,6
2,169216,72,72
3,704,117,117
4,704,162,162
5,736,207,207
6,704,251,251
7,160640,318,318
8,704,363,363
9,704,408,408
10,736,453,453
11,800,497,497
12,704,541,541
13,141280,608,608
14,704,653,653
15,704,698,698
16,704,743,743
17,704,787,787
18,145216,854,854
19,704,899,899
20,704,944,944
21,704,989,989
22,704,1033,1033
23,175712,1100,1100
24,832,1145,1145
25,736,1190,1190
26,704,1235,1235
27,768,1279,1279
28,12544,1283,1283
29,133696,1349,1349
30,800,1394,1394
31,736,1439,1439
32,704,1484,1484
33,704,1528,1528
34,160064,1595,1595
35,672,1640,1640
36,704,1685,1685
37,736,1730,1730
38,672,1774,1774
39,736,1818,1818
40,141792,1885,1885
41,704,1930,1930
42,704,1975,1975
43,704,2020,2020
44,672,2064,2064
45,138144,2131,2131
46,736,2176,2176
47,672,2221,2221
48,736,2266,2266
49,704,2310,2310
50,163840,2377,2377
51,704,2422,2422
52,704,2467,2467
53,704,2512,2512
54,736,2556,2556
55,173312,2626,2626
56,704,2671,2671
57,736,2716,2716
58,768,2761,2761
59,768,2805,2805
60,155744,2872,2872
61,704,2917,2917
62,768,2962,2962
63,704,3007,3007
64,704,3051,3051
65,55904,3095,3095
66,102624,3162,3162
67,704,3207,3207
68,768,3252,3252
69,736,3297,3297
70,800,3341,3341
71,146432,3408,3408
72,736,3453,3453
73,704,3498,3498
74,736,3543,3543
75,704,3587,3587
76,226400,3654,3654
77,704,3699,3699
78,704,3744,3744
79,704,3789,3789
80,704,3833,3833
81,704,3852,3852
82,736,3870,3870
83,672,3888,3888
84,736,3906,3906
85,800,3924,3924
86,704,3942,3942
87,704,3960,3960
88,736,3978,3978
89,704,3996,3996
90,768,4014,4014
91,11403552,4026,4026
