HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10048,1,1
1,11136,6,6
2,183264,70,70
3,704,113,113
4,704,156,156
5,704,199,199
6,800,241,241
7,864,283,283
8,143680,348,348
9,672,391,391
10,704,434,434
11,896,477,477
12,864,519,519
13,142080,584,584
14,704,627,627
15,736,670,670
16,704,713,713
17,704,755,755
18,145824,820,820
19,704,863,863
20,704,906,906
21,704,949,949
22,736,991,991
23,179712,1056,1056
24,960,1099,1099
25,832,1142,1142
26,768,1185,1185
27,736,1227,1227
28,9536,1231,1231
29,179872,1295,1295
30,704,1338,1338
31,704,1381,1381
32,704,1424,1424
33,768,1466,1466
34,704,1508,1508
35,116768,1573,1573
36,704,1616,1616
37,768,1659,1659
38,704,1702,1702
39,704,1744,1744
40,143552,1809,1809
41,736,1852,1852
42,736,1895,1895
43,704,1938,1938
44,704,1980,1980
45,140384,2045,2045
46,704,2088,2088
47,704,2131,2131
48,704,2174,2174
49,800,2216,2216
50,161504,2281,2281
51,704,2324,2324
52,736,2367,2367
53,704,2410,2410
54,704,2452,2452
55,187968,2520,2520
56,704,2563,2563
57,736,2606,2606
58,736,2649,2649
59,704,2691,2691
60,28064,2733,2733
61,107104,2798,2798
62,800,2841,2841
63,832,2884,2884
64,704,2927,2927
65,736,2969,2969
66,146080,3034,3034
67,704,3077,3077
68,704,3120,3120
69,704,3163,3163
70,704,3205,3205
71,147968,3270,3270
72,704,3313,3313
73,704,3356,3356
74,704,3399,3399
75,704,3441,3441
76,230656,3506,3506
77,736,3549,3549
78,704,3592,3592
79,704,3635,3635
80,736,3677,3677
81,704,3696,3696
82,704,3714,3714
83,704,3732,3732
84,928,3750,3750
85,864,3768,3768
86,704,3786,3786
87,704,3804,3804
88,704,3822,3822
89,736,3840,3840
90,736,3858,3858
91,704,3876,3876
92,12242848,3888,3888
