HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,9216,1,1
1,11200,6,6
2,178624,69,69
3,832,113,113
4,704,157,157
5,768,201,201
6,704,245,245
7,154848,309,309
8,704,353,353
9,704,397,397
10,704,441,441
11,704,485,485
12,704,529,529
13,138656,593,593
14,704,637,637
15,704,681,681
16,704,725,725
17,704,769,769
18,138848,833,833
19,704,877,877
20,704,921,921
21,704,965,965
22,704,1009,1009
23,168768,1073,1073
24,672,1117,1117
25,704,1161,1161
26,736,1205,1205
27,704,1249,1249
28,9216,1253,1253
29,127808,1316,1316
30,736,1360,1360
31,704,1404,1404
32,704,1448,1448
33,704,1492,1492
34,158784,1556,1556
35,704,1600,1600
36,672,1644,1644
37,704,1688,1688
38,704,1732,1732
39,736,1776,1776
40,138016,1840,1840
41,736,1884,1884
42,704,1928,1928
43,704,1972,1972
44,736,2016,2016
45,134624,2080,2080
46,1024,2124,2124
47,832,2168,2168
48,736,2212,2212
49,800,2256,2256
50,154112,2320,2320
51,704,2364,2364
52,704,2408,2408
53,736,2452,2452
54,736,2496,2496
55,154976,2563,2563
56,736,2607,2607
57,736,2651,2651
58,800,2695,2695
59,800,2739,2739
60,151584,2803,2803
61,736,2847,2847
62,704,2891,2891
63,736,2935,2935
64,704,2979,2979
65,48928,3023,3023
66,102176,3087,3087
67,704,3131,3131
68,704,3175,3175
69,736,3219,3219
70,704,3263,3263
71,137824,3327,3327
72,800,3371,3371
73,704,3415,3415
74,704,3459,3459
75,672,3503,3503
76,218912,3567,3567
77,704,3611,3611
78,704,3655,3655
79,704,3699,3699
80,704,3743,3743
81,736,3762,3762
82,800,3780,3780
83,800,3798,3798
84,736,3816,3816
85,704,3834,3834
86,832,3852,3852
87,832,3870,3870
88,704,3888,3888
89,704,3906,3906
90,704,3924,3924
91,12587616,3936,3936
