HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,8800,1,1
1,11168,6,6
2,175872,72,72
3,736,117,117
4,704,162,162
5,736,207,207
6,704,251,251
7,166880,318,318
8,736,363,363
9,704,408,408
10,672,453,453
11,736,497,497
12,704,541,541
13,146368,608,608
14,704,653,653
15,672,698,698
16,736,743,743
17,704,787,787
18,144256,854,854
19,832,899,899
20,736,944,944
21,832,989,989
22,704,1033,1033
23,180160,1100,1100
24,704,1145,1145
25,832,1190,1190
26,704,1235,1235
27,832,1279,1279
28,9536,1283,1283
29,132160,1349,1349
30,736,1394,1394
31,704,1439,1439
32,704,1484,1484
33,704,1528,1528
34,164064,1595,1595
35,736,1640,1640
36,736,1685,1685
37,704,1730,1730
38,704,1774,1774
39,704,1818,1818
40,139712,1885,1885
41,704,1930,1930
42,736,1975,1975
43,704,2020,2020
44,672,2064,2064
45,148704,2131,2131
46,704,2176,2176
47,672,2221,2221
48,704,2266,2266
49,704,2310,2310
50,163712,2377,2377
51,704,2422,2422
52,736,2467,2467
53,672,2512,2512
54,704,2556,2556
55,167680,2626,2626
56,704,2671,2671
57,672,2716,2716
58,704,2761,2761
59,704,2805,2805
60,159168,2872,2872
61,704,2917,2917
62,704,2962,2962
63,704,3007,3007
64,672,3051,3051
65,46752,3095,3095
66,100640,3162,3162
67,736,3207,3207
68,800,3252,3252
69,896,3297,3297
70,864,3341,3341
71,144768,3408,3408
72,736,3453,3453
73,736,3498,3498
74,704,3543,3543
75,704,3587,3587
76,231520,3654,3654
77,704,3699,3699
78,736,3744,3744
79,704,3789,3789
80,704,3833,3833
81,704,3852,3852
82,704,3870,3870
83,704,3888,3888
84,768,3906,3906
85,704,3924,3924
86,736,3942,3942
87,800,3960,3960
88,704,3978,3978
89,704,3996,3996
90,768,4014,4014
91,864,4032,4032
92,12093728,4044,4044
