HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10016,2,2
1,10944,7,7
2,704,62,62
3,8768,70,70
4,768,99,99
5,704,128,128
6,800,157,157
7,704,186,186
8,832,215,215
9,800,244,244
10,896,273,273
11,768,302,302
12,704,331,331
13,736,360,360
14,704,389,389
15,1024,418,418
16,864,447,447
17,768,476,476
18,704,505,505
19,704,534,534
20,704,563,563
21,704,592,592
22,704,621,621
23,736,650,650
24,1056,679,679
25,832,708,708
26,736,737,737
27,800,766,766
28,736,795,795
29,768,824,824
30,800,853,853
31,704,882,882
32,704,911,911
33,704,940,940
34,864,969,969
35,768,998,998
36,768,1027,1027
37,864,1056,1056
38,832,1085,1085
39,704,1114,1114
40,864,1143,1143
41,896,1172,1172
42,704,1201,1201
43,704,1230,1230
44,704,1259,1259
45,800,1288,1288
46,896,1317,1317
47,768,1346,1346
48,704,1375,1375
49,704,1404,1404
50,832,1433,1433
51,832,1462,1462
52,704,1491,1491
53,768,1520,1520
54,768,1549,1549
55,736,1578,1578
56,704,1607,1607
57,704,1636,1636
58,704,1665,1665
59,704,1694,1694
60,704,1723,1723
61,704,1752,1752
62,704,1781,1781
63,704,1810,1810
64,704,1839,1839
65,704,1868,1868
66,1024,1897,1897
67,832,1926,1926
68,35232,1950,1950
69,13970400,1961,1961
