HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,11040,2,2
1,13120,9,9
2,367648,64,64
3,12064,96,96
4,10176,105,105
5,2880,135,135
6,960,164,164
7,1120,193,193
8,1280,222,222
9,1504,251,251
10,2176,280,280
11,3776,309,309
12,3552,338,338
13,768,367,367
14,832,396,396
15,1152,425,425
16,1152,454,454
17,1568,483,483
18,1920,512,512
19,2688,541,541
20,4064,570,570
21,992,599,599
22,1152,628,628
23,1184,657,657
24,1696,686,686
25,2976,715,715
26,3584,744,744
27,6656,773,773
28,9440,802,802
29,1280,831,831
30,1504,860,860
31,1664,889,889
32,3584,918,918
33,4064,947,947
34,5696,976,976
35,7840,1005,1005
36,6464,1034,1034
37,1120,1063,1063
38,1728,1092,1092
39,2272,1121,1121
40,3840,1150,1150
41,4736,1179,1179
42,6688,1208,1208
43,5568,1237,1237
44,5952,1266,1266
45,704,1295,1295
46,704,1324,1324
47,704,1353,1353
48,1792,1382,1382
49,4928,1411,1411
50,12064,1440,1440
51,6496,1469,1469
52,3680,1498,1498
53,704,1527,1527
54,672,1556,1556
55,704,1585,1585
56,672,1614,1614
57,704,1643,1643
58,2624,1672,1672
59,3136,1701,1701
60,704,1730,1730
61,704,1759,1759
62,704,1788,1788
63,704,1817,1817
64,704,1846,1846
65,704,1875,1875
66,672,1904,1904
67,768,1933,1933
68,704,1962,1962
69,41088,1988,1988
70,436992,2012,2012
71,439136,2033,2033
72,433376,2054,2054
73,442240,2075,2075
74,437664,2096,2096
75,442144,2117,2117
76,435936,2138,2138
77,449216,2159,2159
78,449312,2180,2180
79,441504,2201,2201
80,440032,2222,2222
81,443520,2243,2243
82,436544,2264,2264
83,438528,2285,2285
84,437952,2306,2306
85,443648,2327,2327
86,439136,2348,2348
87,445952,2369,2369
88,433952,2390,2390
89,436160,2411,2411
90,5696,2417,2417
91,53120,2440,2440
92,704,2474,2474
93,42816,2500,2500
94,704,2533,2533
95,704,2569,2569
96,672,2605,2605
97,672,2641,2641
98,704,2677,2677
99,704,2713,2713
100,2767136,2726,2726
