HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,13472,5,5
1,230432,21,21
2,3968,35,35
3,8160,42,42
4,38464,59,59
5,768,80,80
6,25696,128,128
7,597088,196,196
8,7200,201,201
9,34272,218,218
10,896,239,239
11,404832,311,311
12,10016,317,317
13,31232,334,334
14,704,355,355
15,696384,426,426
16,112096,475,475
17,15072,520,520
18,736,553,553
19,42464,579,579
20,768,612,612
21,736,648,648
22,704,684,684
23,704,720,720
24,704,756,756
25,704,792,792
26,10859136,805,805
